epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,45.366,0.82173,0.43431,0.89913,0.93564,0.92508,0.95072,0.69325,1.11823,0.51642,1.01761,0.000848969,0.000848969,0.000848969
43,46.406,0.79731,0.42003,0.8981,0.94813,0.92359,0.94787,0.67841,1.07411,0.49585,0.99794,0.000834822,0.000834822,0.000834822
44,47.4819,0.77723,0.42737,0.90015,0.9642,0.92322,0.95784,0.70818,1.04313,0.49279,0.96152,0.000820675,0.000820675,0.000820675
45,48.4983,0.77697,0.4246,0.90179,0.96511,0.92506,0.95818,0.69348,1.06823,0.46198,0.97437,0.000806528,0.000806528,0.000806528
46,49.5647,0.77797,0.41557,0.8964,0.96827,0.92491,0.95753,0.73121,0.95581,0.46499,0.95468,0.00079238,0.00079238,0.00079238
47,50.7022,0.74886,0.40995,0.87961,0.97334,0.9109,0.95393,0.69958,1.07118,0.48454,0.99374,0.000778233,0.000778233,0.000778233
48,51.7508,0.73479,0.39549,0.89675,0.94898,0.92963,0.95574,0.71654,1.05253,0.4665,0.99501,0.000764086,0.000764086,0.000764086
49,52.7672,0.76088,0.39246,0.90784,0.95269,0.92963,0.95473,0.69872,1.17213,0.49592,1.04539,0.000749939,0.000749939,0.000749939
50,53.8265,0.7651,0.41447,0.89934,0.95889,0.92963,0.93808,0.68193,1.11677,0.48049,1.04667,0.000735792,0.000735792,0.000735792
51,54.9039,0.78373,0.40303,0.902,0.95874,0.92963,0.93587,0.69615,1.11752,0.51108,1.03821,0.000721645,0.000721645,0.000721645
52,55.9454,0.72809,0.39423,0.88487,0.94945,0.92963,0.93393,0.69516,1.0463,0.4777,1.01157,0.000707498,0.000707498,0.000707498
53,56.9902,0.72517,0.39837,0.8861,0.95621,0.92963,0.95309,0.7131,1.01057,0.47974,1.00142,0.000693351,0.000693351,0.000693351
54,58.0701,0.72911,0.40351,0.87503,0.95329,0.92963,0.95655,0.701,1.04252,0.49229,1.0067,0.000679204,0.000679204,0.000679204
55,59.15,0.67855,0.3885,0.87877,0.94957,0.92963,0.95806,0.69379,1.06458,0.50491,1.02919,0.000665057,0.000665057,0.000665057
56,60.2186,0.69321,0.37918,0.8859,0.94431,0.92498,0.95715,0.67124,1.14601,0.53664,1.06553,0.000650909,0.000650909,0.000650909
57,61.2425,0.69428,0.38613,0.88928,0.93091,0.9228,0.95712,0.68094,1.10577,0.51648,1.03404,0.000636762,0.000636762,0.000636762
58,62.3029,0.67947,0.38186,0.88355,0.92927,0.92339,0.95996,0.68927,1.05485,0.46139,1.01753,0.000622615,0.000622615,0.000622615
59,63.3569,0.69331,0.37684,0.88556,0.94759,0.92963,0.93851,0.69537,1.05064,0.478,1.01075,0.000608468,0.000608468,0.000608468
60,64.4175,0.65452,0.36666,0.86329,0.9358,0.92963,0.93463,0.68335,1.08594,0.49591,1.02252,0.000594321,0.000594321,0.000594321
61,65.445,0.70674,0.37599,0.87173,0.93917,0.92963,0.93791,0.67629,1.12161,0.50723,1.04204,0.000580174,0.000580174,0.000580174
62,66.4856,0.68722,0.38014,0.86641,0.94238,0.92963,0.93848,0.69651,1.10166,0.48803,1.01336,0.000566027,0.000566027,0.000566027
63,67.5509,0.67546,0.36322,0.86578,0.94956,0.94137,0.96025,0.68711,1.12118,0.48384,1.02661,0.00055188,0.00055188,0.00055188
64,68.5972,0.64181,0.36773,0.87502,0.94012,0.92963,0.93896,0.71118,1.00479,0.45576,0.98268,0.000537733,0.000537733,0.000537733
